"pi","pj","loni","lati","cityi.id","provi.id","lonj","latj","cityj.id","provj.id","flowij","distij","sameprov"
532791,113197,114.3428638,30.62406168,420100,420000,114.1505548,32.92331063,411700,410000,292,256.3101312,0
532791,58406,114.3428638,30.62406168,420100,420000,115.0247001,29.92724712,420200,420000,1938,101.4420801,1
532791,73396,114.3428638,30.62406168,420100,420000,110.4414569,32.45681005,420300,420000,1194,422.1278022,1
532791,101239,114.3428638,30.62406168,420100,420000,111.1354759,30.7476962,420500,420000,1816,307.0045098,1
532791,121181,114.3428638,30.62406168,420100,420000,111.9367371,31.93242108,420600,420000,2475,271.0072625,1
532791,25579,114.3428638,30.62406168,420100,420000,114.754484,30.32890805,420700,420000,1564,51.31405438,1
532791,52744,114.3428638,30.62406168,420100,420000,112.608686,31.07063491,420800,420000,1532,172.8374375,1
532791,82227,114.3428638,30.62406168,420100,420000,113.8790881,31.1183498,420900,420000,4784,70.56959932,1
532791,96371,114.3428638,30.62406168,420100,420000,112.5694428,29.99705878,421000,420000,3199,183.9593998,1
532791,84244,114.3428638,30.62406168,420100,420000,115.3397383,30.71603335,421100,420000,4282,95.8885326,1
532791,48665,114.3428638,30.62406168,420100,420000,114.1752646,29.62408282,421200,420000,1847,112.3548127,1
532791,36234,114.3428638,30.62406168,420100,420000,113.4241977,31.82917193,421300,420000,1155,159.9570709,1
532791,59705,114.3428638,30.62406168,420100,420000,109.5494245,30.19151922,422800,420000,1002,462.1612991,1
532791,24398,114.3428638,30.62406168,420100,420000,113.3757984,30.28994683,429004,420000,1690,99.86186707,1
532791,19747,114.3428638,30.62406168,420100,420000,112.7573207,30.33903758,429005,420000,737,155.2065472,1
532791,13628,114.3428638,30.62406168,420100,420000,113.1114801,30.64528822,429006,420000,750,117.8367617,1
532791,407159,114.3428638,30.62406168,420100,420000,113.1530383,28.22711158,430100,430000,874,290.3664953,0
532791,107258,114.3428638,30.62406168,420100,420000,113.5173537,27.11877446,430200,430000,212,397.967784,0
532791,107229,114.3428638,30.62406168,420100,420000,113.2543126,29.06636367,430600,430000,282,202.5391418,0
532791,1090723,114.3428638,30.62406168,420100,420000,113.5390157,23.33082851,440100,440000,1870,814.8639518,0
532791,1038028,114.3428638,30.62406168,420100,420000,114.137174,22.64530868,440300,440000,3403,887.4317178,0
532791,121361,114.3428638,30.62406168,420100,420000,113.3618519,22.1517819,440400,440000,221,947.1128923,0
532791,486003,114.3428638,30.62406168,420100,420000,112.944411,23.00655405,440600,440000,493,858.2925317,0
532791,244341,114.3428638,30.62406168,420100,420000,114.5027122,23.23511983,441300,440000,307,821.7652817,0
532791,654842,114.3428638,30.62406168,420100,420000,113.8750113,22.93450844,441900,440000,1263,856.2963749,0
532791,266166,114.3428638,30.62406168,420100,420000,113.3936091,22.51984392,442000,440000,283,906.0647996,0
532791,285604,114.3428638,30.62406168,420100,420000,108.4635355,23.05705596,450100,450000,289,1023.377616,0
532791,787406,114.3428638,30.62406168,420100,420000,107.8744506,30.05715976,500000,500000,908,623.8475776,0
532791,841965,114.3428638,30.62406168,420100,420000,103.9296296,30.65356091,510100,510000,690,995.9011143,0
532791,215837,114.3428638,30.62406168,420100,420000,106.7067103,26.84224205,520100,520000,263,854.7621839,0
532791,317866,114.3428638,30.62406168,420100,420000,102.8727914,25.386845,530100,530000,291,1266.72393,0
532791,554579,114.3428638,30.62406168,420100,420000,108.7920315,34.10680185,610100,610000,524,649.2470326,0
58406,532791,115.0247001,29.92724712,420200,420000,114.3428638,30.62406168,420100,420000,1909,101.4420801,1
73396,532791,110.4414569,32.45681005,420300,420000,114.3428638,30.62406168,420100,420000,1219,422.1278022,1
101239,532791,111.1354759,30.7476962,420500,420000,114.3428638,30.62406168,420100,420000,1562,307.0045098,1
121181,532791,111.9367371,31.93242108,420600,420000,114.3428638,30.62406168,420100,420000,2210,271.0072625,1
25579,532791,114.754484,30.32890805,420700,420000,114.3428638,30.62406168,420100,420000,1578,51.31405438,1
52744,532791,112.608686,31.07063491,420800,420000,114.3428638,30.62406168,420100,420000,1474,172.8374375,1
82227,532791,113.8790881,31.1183498,420900,420000,114.3428638,30.62406168,420100,420000,4905,70.56959932,1
96371,532791,112.5694428,29.99705878,421000,420000,114.3428638,30.62406168,420100,420000,3170,183.9593998,1
84244,532791,115.3397383,30.71603335,421100,420000,114.3428638,30.62406168,420100,420000,4379,95.8885326,1
48665,532791,114.1752646,29.62408282,421200,420000,114.3428638,30.62406168,420100,420000,1859,112.3548127,1
36234,532791,113.4241977,31.82917193,421300,420000,114.3428638,30.62406168,420100,420000,1335,159.9570709,1
59705,532791,109.5494245,30.19151922,422800,420000,114.3428638,30.62406168,420100,420000,948,462.1612991,1
24398,532791,113.3757984,30.28994683,429004,420000,114.3428638,30.62406168,420100,420000,1530,99.86186707,1
19747,532791,112.7573207,30.33903758,429005,420000,114.3428638,30.62406168,420100,420000,696,155.2065472,1
13628,532791,113.1114801,30.64528822,429006,420000,114.3428638,30.62406168,420100,420000,675,117.8367617,1
407159,532791,113.1530383,28.22711158,430100,430000,114.3428638,30.62406168,420100,420000,851,290.3664953,0
107229,532791,113.2543126,29.06636367,430600,430000,114.3428638,30.62406168,420100,420000,251,202.5391418,0
1090723,532791,113.5390157,23.33082851,440100,440000,114.3428638,30.62406168,420100,420000,1648,814.8639518,0
1038028,532791,114.137174,22.64530868,440300,440000,114.3428638,30.62406168,420100,420000,2183,887.4317178,0
486003,532791,112.944411,23.00655405,440600,440000,114.3428638,30.62406168,420100,420000,386,858.2925317,0
244341,532791,114.5027122,23.23511983,441300,440000,114.3428638,30.62406168,420100,420000,303,821.7652817,0
654842,532791,113.8750113,22.93450844,441900,440000,114.3428638,30.62406168,420100,420000,1069,856.2963749,0
266166,532791,113.3936091,22.51984392,442000,440000,114.3428638,30.62406168,420100,420000,245,906.0647996,0
285604,532791,108.4635355,23.05705596,450100,450000,114.3428638,30.62406168,420100,420000,230,1023.377616,0
787406,532791,107.8744506,30.05715976,500000,500000,114.3428638,30.62406168,420100,420000,926,623.8475776,0
841965,532791,103.9296296,30.65356091,510100,510000,114.3428638,30.62406168,420100,420000,593,995.9011143,0
215837,532791,106.7067103,26.84224205,520100,520000,114.3428638,30.62406168,420100,420000,202,854.7621839,0
317866,532791,102.8727914,25.386845,530100,530000,114.3428638,30.62406168,420100,420000,221,1266.72393,0
554579,532791,108.7920315,34.10680185,610100,610000,114.3428638,30.62406168,420100,420000,461,649.2470326,0
